Al,tau,a,i,k,t 
273,1,1,1,1,1 
0,2,1,1,1,1 
0,3,1,1,1,1 
0,4,1,1,1,1 
0,5,1,1,1,1 
273,1,1,1,2,1 
0,2,1,1,2,1 
0,3,1,1,2,1 
0,4,1,1,2,1 
0,5,1,1,2,1 
273,1,1,1,3,1 
0,2,1,1,3,1 
0,3,1,1,3,1 
0,4,1,1,3,1 
0,5,1,1,3,1 
273,1,1,1,4,1 
0,2,1,1,4,1 
0,3,1,1,4,1 
0,4,1,1,4,1 
0,5,1,1,4,1 
50755,1,2,1,1,1 
0,2,2,1,1,1 
0,3,2,1,1,1 
0,4,2,1,1,1 
0,5,2,1,1,1 
50755,1,2,1,2,1 
0,2,2,1,2,1 
0,3,2,1,2,1 
0,4,2,1,2,1 
0,5,2,1,2,1 
50755,1,2,1,3,1 
0,2,2,1,3,1 
0,3,2,1,3,1 
0,4,2,1,3,1 
0,5,2,1,3,1 
50755,1,2,1,4,1 
0,2,2,1,4,1 
0,3,2,1,4,1 
0,4,2,1,4,1 
0,5,2,1,4,1 
23535,1,3,1,1,1 
0,2,3,1,1,1 
0,3,3,1,1,1 
0,4,3,1,1,1 
0,5,3,1,1,1 
23535,1,3,1,2,1 
0,2,3,1,2,1 
0,3,3,1,2,1 
0,4,3,1,2,1 
0,5,3,1,2,1 
23535,1,3,1,3,1 
0,2,3,1,3,1 
0,3,3,1,3,1 
0,4,3,1,3,1 
0,5,3,1,3,1 
23535,1,3,1,4,1 
0,2,3,1,4,1 
0,3,3,1,4,1 
0,4,3,1,4,1 
0,5,3,1,4,1 
6540,1,4,1,1,1 
0,2,4,1,1,1 
0,3,4,1,1,1 
0,4,4,1,1,1 
0,5,4,1,1,1 
6540,1,4,1,2,1 
0,2,4,1,2,1 
0,3,4,1,2,1 
0,4,4,1,2,1 
0,5,4,1,2,1 
6540,1,4,1,3,1 
0,2,4,1,3,1 
0,3,4,1,3,1 
0,4,4,1,3,1 
0,5,4,1,3,1 
6540,1,4,1,4,1 
0,2,4,1,4,1 
0,3,4,1,4,1 
0,4,4,1,4,1 
0,5,4,1,4,1 
7231,1,5,1,1,1 
0,2,5,1,1,1 
0,3,5,1,1,1 
0,4,5,1,1,1 
0,5,5,1,1,1 
7231,1,5,1,2,1 
0,2,5,1,2,1 
0,3,5,1,2,1 
0,4,5,1,2,1 
0,5,5,1,2,1 
7231,1,5,1,3,1 
0,2,5,1,3,1 
0,3,5,1,3,1 
0,4,5,1,3,1 
0,5,5,1,3,1 
7231,1,5,1,4,1 
0,2,5,1,4,1 
0,3,5,1,4,1 
0,4,5,1,4,1 
0,5,5,1,4,1 
20541,1,6,1,1,1 
0,2,6,1,1,1 
0,3,6,1,1,1 
0,4,6,1,1,1 
0,5,6,1,1,1 
20541,1,6,1,2,1 
0,2,6,1,2,1 
0,3,6,1,2,1 
0,4,6,1,2,1 
0,5,6,1,2,1 
20541,1,6,1,3,1 
0,2,6,1,3,1 
0,3,6,1,3,1 
0,4,6,1,3,1 
0,5,6,1,3,1 
20541,1,6,1,4,1 
0,2,6,1,4,1 
0,3,6,1,4,1 
0,4,6,1,4,1 
0,5,6,1,4,1 
8060,1,7,1,1,1 
0,2,7,1,1,1 
0,3,7,1,1,1 
0,4,7,1,1,1 
0,5,7,1,1,1 
8060,1,7,1,2,1 
0,2,7,1,2,1 
0,3,7,1,2,1 
0,4,7,1,2,1 
0,5,7,1,2,1 
8060,1,7,1,3,1 
0,2,7,1,3,1 
0,3,7,1,3,1 
0,4,7,1,3,1 
0,5,7,1,3,1 
8060,1,7,1,4,1 
0,2,7,1,4,1 
0,3,7,1,4,1 
0,4,7,1,4,1 
0,5,7,1,4,1 
55959,1,8,1,1,1 
0,2,8,1,1,1 
0,3,8,1,1,1 
0,4,8,1,1,1 
0,5,8,1,1,1 
55959,1,8,1,2,1 
0,2,8,1,2,1 
0,3,8,1,2,1 
0,4,8,1,2,1 
0,5,8,1,2,1 
55959,1,8,1,3,1 
0,2,8,1,3,1 
0,3,8,1,3,1 
0,4,8,1,3,1 
0,5,8,1,3,1 
55959,1,8,1,4,1 
0,2,8,1,4,1 
0,3,8,1,4,1 
0,4,8,1,4,1 
0,5,8,1,4,1 
2901,1,9,1,1,1 
0,2,9,1,1,1 
0,3,9,1,1,1 
0,4,9,1,1,1 
0,5,9,1,1,1 
2901,1,9,1,2,1 
0,2,9,1,2,1 
0,3,9,1,2,1 
0,4,9,1,2,1 
0,5,9,1,2,1 
2901,1,9,1,3,1 
0,2,9,1,3,1 
0,3,9,1,3,1 
0,4,9,1,3,1 
0,5,9,1,3,1 
2901,1,9,1,4,1 
0,2,9,1,4,1 
0,3,9,1,4,1 
0,4,9,1,4,1 
0,5,9,1,4,1 
5757,1,10,1,1,1 
0,2,10,1,1,1 
0,3,10,1,1,1 
0,4,10,1,1,1 
0,5,10,1,1,1 
5757,1,10,1,2,1 
0,2,10,1,2,1 
0,3,10,1,2,1 
0,4,10,1,2,1 
0,5,10,1,2,1 
5757,1,10,1,3,1 
0,2,10,1,3,1 
0,3,10,1,3,1 
0,4,10,1,3,1 
0,5,10,1,3,1 
5757,1,10,1,4,1 
0,2,10,1,4,1 
0,3,10,1,4,1 
0,4,10,1,4,1 
0,5,10,1,4,1 
0,1,1,2,1,5 
0,2,1,2,1,5 
0,3,1,2,1,5 
0,4,1,2,1,5 
0,5,1,2,1,5 
0,1,1,2,2,5 
