Al,a,i,k,t 
0,1,1,1,1 
913590,2,1,1,1 
611910,3,1,1,1 
170040,4,1,1,1 
188006,5,1,1,1 
534079,6,1,1,1 
209560,7,1,1,1 
145483,8,1,1,1 
146809,9,1,1,1 
149682,10,1,1,1 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,2 
812080,2,1,1,2 
564840,3,1,1,2 
156960,4,1,1,2 
173544,5,1,1,2 
492996,6,1,1,2 
193440,7,1,1,2 
134292,8,1,1,2 
135516,9,1,1,2 
138168,10,1,1,2 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,3 
710570,2,1,1,3 
517770,3,1,1,3 
143880,4,1,1,3 
159082,5,1,1,3 
451913,6,1,1,3 
177320,7,1,1,3 
123101,8,1,1,3 
124223,9,1,1,3 
126654,10,1,1,3 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,4 
609060,2,1,1,4 
470700,3,1,1,4 
130800,4,1,1,4 
144620,5,1,1,4 
410830,6,1,1,4 
161200,7,1,1,4 
111910,8,1,1,4 
112930,9,1,1,4 
115140,10,1,1,4 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
0,4,3,1,14 
0,5,3,1,14 
0,6,3,1,14 
0,7,3,1,14 
0,8,3,1,14 
0,9,3,1,14 
0,10,3,1,14 
0,1,1,1,5 
507550,2,1,1,5 
423630,3,1,1,5 
117720,4,1,1,5 
130158,5,1,1,5 
369747,6,1,1,5 
145080,7,1,1,5 
100719,8,1,1,5 
101637,9,1,1,5 
103626,10,1,1,5 
0,1,2,1,14 
0,2,2,1,14 
0,3,2,1,14 
0,4,2,1,14 
0,5,2,1,14 
0,6,2,1,14 
0,7,2,1,14 
0,8,2,1,14 
0,9,2,1,14 
0,10,2,1,14 
0,1,3,1,14 
0,2,3,1,14 
0,3,3,1,14 
