Al,a,i,k,t 
3275,1,1,1,1 
0,2,1,1,1 
0,3,1,1,1 
29901,4,1,1,1 
0,5,1,1,1 
0,6,1,1,1 
16120,7,1,1,1 
0,8,1,1,1 
0,9,1,1,1 
0,10,1,1,1 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
2729,1,1,1,2 
0,2,1,1,2 
0,3,1,1,2 
23437,4,1,1,2 
0,5,1,1,2 
0,6,1,1,2 
0,7,1,1,2 
0,8,1,1,2 
0,9,1,1,2 
0,10,1,1,2 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
2183,1,1,1,3 
0,2,1,1,3 
0,3,1,1,3 
29212,4,1,1,3 
0,5,1,1,3 
0,6,1,1,3 
0,7,1,1,3 
0,8,1,1,3 
8763,9,1,1,3 
23027,10,1,1,3 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
1637,1,1,1,4 
0,2,1,1,4 
1797,3,1,1,4 
19786,4,1,1,4 
0,5,1,1,4 
0,6,1,1,4 
16119,7,1,1,4 
11190,8,1,1,4 
0,9,1,1,4 
11513,10,1,1,4 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
1091,1,1,1,5 
0,2,1,1,5 
0,3,1,1,5 
19375,4,1,1,5 
0,5,1,1,5 
0,6,1,1,5 
0,7,1,1,5 
0,8,1,1,5 
0,9,1,1,5 
0,10,1,1,5 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
545,1,1,1,6 
0,2,1,1,6 
5433,3,1,1,6 
13079,4,1,1,6 
0,5,1,1,6 
41083,6,1,1,6 
16120,7,1,1,6 
11191,8,1,1,6 
11293,9,1,1,6 
11513,10,1,1,6 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,7 
0,2,1,1,7 
0,3,1,1,7 
0,4,1,1,7 
0,5,1,1,7 
0,6,1,1,7 
0,7,1,1,7 
0,8,1,1,7 
0,9,1,1,7 
0,10,1,1,7 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,8 
0,2,1,1,8 
0,3,1,1,8 
10233,4,1,1,8 
0,5,1,1,8 
0,6,1,1,8 
0,7,1,1,8 
0,8,1,1,8 
0,9,1,1,8 
0,10,1,1,8 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,9 
0,2,1,1,9 
0,3,1,1,9 
0,4,1,1,9 
0,5,1,1,9 
0,6,1,1,9 
0,7,1,1,9 
0,8,1,1,9 
0,9,1,1,9 
0,10,1,1,9 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10 
0,1,1,1,10 
0,2,1,1,10 
0,3,1,1,10 
0,4,1,1,10 
0,5,1,1,10 
0,6,1,1,10 
0,7,1,1,10 
0,8,1,1,10 
0,9,1,1,10 
0,10,1,1,10 
0,1,2,1,10 
0,2,2,1,10 
0,3,2,1,10 
0,4,2,1,10 
0,5,2,1,10 
0,6,2,1,10 
0,7,2,1,10 
0,8,2,1,10 
0,9,2,1,10 
0,10,2,1,10 
0,1,3,1,10 
0,2,3,1,10 
0,3,3,1,10 
0,4,3,1,10 
0,5,3,1,10 
0,6,3,1,10 
0,7,3,1,10 
0,8,3,1,10 
0,9,3,1,10 
0,10,3,1,10
