Al,a,i,k,t 
0,1,1,1,1 
2183,1,1,2,1 
0,1,1,3,1 
0,1,1,4,1 
0,2,1,1,1 
0,2,1,2,1 
0,2,1,3,1 
0,2,1,4,1 
0,3,1,1,1 
47069,3,1,2,1 
0,3,1,3,1 
0,3,1,4,1 
0,4,1,1,1 
0,4,1,2,1 
0,4,1,3,1 
13079,4,1,4,1 
0,5,1,1,1 
57847,5,1,2,1 
0,5,1,3,1 
0,5,1,4,1 
0,6,1,1,1 
0,6,1,2,1 
0,6,1,3,1 
82166,6,1,4,1 
0,7,1,1,1 
64479,7,1,2,1 
0,7,1,3,1 
0,7,1,4,1 
0,8,1,1,1 
0,8,1,2,1 
44763,8,1,3,1 
0,8,1,4,1 
0,9,1,1,1 
0,9,1,2,1 
0,9,1,3,1 
45171,9,1,4,1 
0,10,1,1,1 
0,10,1,2,1 
0,10,1,3,1 
46055,10,1,4,1 
0,1,2,1,5 
0,1,2,2,5 
0,1,2,3,5 
0,1,2,4,5 
0,2,2,1,5 
0,2,2,2,5 
0,2,2,3,5 
0,2,2,4,5 
0,3,2,1,5 
0,3,2,2,5 
0,3,2,3,5 
0,3,2,4,5 
0,4,2,1,5 
0,4,2,2,5 
0,4,2,3,5 
0,4,2,4,5 
0,5,2,1,5 
0,5,2,2,5 
0,5,2,3,5 
0,5,2,4,5 
0,6,2,1,5 
0,6,2,2,5 
0,6,2,3,5 
0,6,2,4,5 
0,7,2,1,5 
0,7,2,2,5 
0,7,2,3,5 
0,7,2,4,5 
0,8,2,1,5 
0,8,2,2,5 
0,8,2,3,5 
0,8,2,4,5 
0,9,2,1,5 
0,9,2,2,5 
0,9,2,3,5 
0,9,2,4,5 
0,10,2,1,5 
0,10,2,2,5 
0,10,2,3,5 
0,10,2,4,5 
0,1,3,1,5 
0,1,3,2,5 
0,1,3,3,5 
0,1,3,4,5 
0,2,3,1,5 
0,2,3,2,5 
0,2,3,3,5 
0,2,3,4,5 
0,3,3,1,5 
0,3,3,2,5 
0,3,3,3,5 
0,3,3,4,5 
0,4,3,1,5 
0,4,3,2,5 
0,4,3,3,5 
0,4,3,4,5 
0,5,3,1,5 
0,5,3,2,5 
0,5,3,3,5 
0,5,3,4,5 
0,6,3,1,5 
0,6,3,2,5 
0,6,3,3,5 
0,6,3,4,5 
0,7,3,1,5 
0,7,3,2,5 
0,7,3,3,5 
0,7,3,4,5 
0,8,3,1,5 
0,8,3,2,5 
0,8,3,3,5 
0,8,3,4,5 
0,9,3,1,5 
0,9,3,2,5 
0,9,3,3,5 
0,9,3,4,5 
0,10,3,1,5 
0,10,3,2,5 
0,10,3,3,5 
0,10,3,4,5 
0,1,1,1,2 
1091,1,1,2,2 
0,1,1,3,2 
0,1,1,4,2 
101509,2,1,1,2 
0,2,1,2,2 
0,2,1,3,2 
0,2,1,4,2 
0,3,1,1,2 
0,3,1,2,2 
0,3,1,3,2 
0,3,1,4,2 
0,4,1,1,2 
0,4,1,2,2 
0,4,1,3,2 
0,4,1,4,2 
0,5,1,1,2 
43385,5,1,2,2 
0,5,1,3,2 
0,5,1,4,2 
0,6,1,1,2 
0,6,1,2,2 
0,6,1,3,2 
41083,6,1,4,2 
0,7,1,1,2 
48359,7,1,2,2 
0,7,1,3,2 
0,7,1,4,2 
0,8,1,1,2 
0,8,1,2,2 
33572,8,1,3,2 
0,8,1,4,2 
0,9,1,1,2 
0,9,1,2,2 
0,9,1,3,2 
33878,9,1,4,2 
0,10,1,1,2 
0,10,1,2,2 
0,10,1,3,2 
34541,10,1,4,2 
0,1,2,1,5 
0,1,2,2,5 
0,1,2,3,5 
0,1,2,4,5 
0,2,2,1,5 
0,2,2,2,5 
0,2,2,3,5 
0,2,2,4,5 
0,3,2,1,5 
0,3,2,2,5 
0,3,2,3,5 
0,3,2,4,5 
0,4,2,1,5 
0,4,2,2,5 
0,4,2,3,5 
0,4,2,4,5 
0,5,2,1,5 
0,5,2,2,5 
0,5,2,3,5 
0,5,2,4,5 
0,6,2,1,5 
0,6,2,2,5 
0,6,2,3,5 
0,6,2,4,5 
0,7,2,1,5 
0,7,2,2,5 
0,7,2,3,5 
0,7,2,4,5 
0,8,2,1,5 
0,8,2,2,5 
0,8,2,3,5 
0,8,2,4,5 
0,9,2,1,5 
0,9,2,2,5 
0,9,2,3,5 
0,9,2,4,5 
0,10,2,1,5 
0,10,2,2,5 
0,10,2,3,5 
0,10,2,4,5 
0,1,3,1,5 
0,1,3,2,5 
0,1,3,3,5 
0,1,3,4,5 
0,2,3,1,5 
0,2,3,2,5 
0,2,3,3,5 
0,2,3,4,5 
0,3,3,1,5 
0,3,3,2,5 
0,3,3,3,5 
0,3,3,4,5 
0,4,3,1,5 
0,4,3,2,5 
0,4,3,3,5 
0,4,3,4,5 
0,5,3,1,5 
0,5,3,2,5 
0,5,3,3,5 
0,5,3,4,5 
0,6,3,1,5 
0,6,3,2,5 
0,6,3,3,5 
0,6,3,4,5 
0,7,3,1,5 
0,7,3,2,5 
0,7,3,3,5 
0,7,3,4,5 
0,8,3,1,5 
0,8,3,2,5 
0,8,3,3,5 
0,8,3,4,5 
0,9,3,1,5 
0,9,3,2,5 
0,9,3,3,5 
0,9,3,4,5 
0,10,3,1,5 
0,10,3,2,5 
0,10,3,3,5 
0,10,3,4,5 
0,1,1,1,3 
545,1,1,2,3 
0,1,1,3,3 
0,1,1,4,3 
0,2,1,1,3 
0,2,1,2,3 
0,2,1,3,3 
0,2,1,4,3 
0,3,1,1,3 
94139,3,1,2,3 
0,3,1,3,3 
0,3,1,4,3 
0,4,1,1,3 
0,4,1,2,3 
0,4,1,3,3 
0,4,1,4,3 
0,5,1,1,3 
28923,5,1,2,3 
0,5,1,3,3 
0,5,1,4,3 
0,6,1,1,3 
0,6,1,2,3 
0,6,1,3,3 
0,6,1,4,3 
0,7,1,1,3 
32239,7,1,2,3 
0,7,1,3,3 
0,7,1,4,3 
0,8,1,1,3 
0,8,1,2,3 
22381,8,1,3,3 
0,8,1,4,3 
0,9,1,1,3 
0,9,1,2,3 
0,9,1,3,3 
22585,9,1,4,3 
0,10,1,1,3 
0,10,1,2,3 
0,10,1,3,3 
23027,10,1,4,3 
0,1,2,1,5 
0,1,2,2,5 
0,1,2,3,5 
0,1,2,4,5 
0,2,2,1,5 
0,2,2,2,5 
0,2,2,3,5 
0,2,2,4,5 
0,3,2,1,5 
0,3,2,2,5 
0,3,2,3,5 
0,3,2,4,5 
0,4,2,1,5 
0,4,2,2,5 
0,4,2,3,5 
0,4,2,4,5 
0,5,2,1,5 
0,5,2,2,5 
0,5,2,3,5 
0,5,2,4,5 
0,6,2,1,5 
0,6,2,2,5 
0,6,2,3,5 
0,6,2,4,5 
0,7,2,1,5 
0,7,2,2,5 
0,7,2,3,5 
0,7,2,4,5 
0,8,2,1,5 
0,8,2,2,5 
0,8,2,3,5 
0,8,2,4,5 
0,9,2,1,5 
0,9,2,2,5 
0,9,2,3,5 
0,9,2,4,5 
0,10,2,1,5 
0,10,2,2,5 
0,10,2,3,5 
0,10,2,4,5 
