Cam,e,i,j,k,t 
0,1,1,1,1,1 
0,2,1,1,1,1 
0,3,1,1,1,1 
0,4,1,1,1,1 
1,5,1,1,1,1 
0,6,1,1,1,1 
1,7,1,1,1,1 
0,8,1,1,1,1 
0,9,1,1,1,1 
1,10,1,1,1,1 
0,11,1,1,1,1 
0,12,1,1,1,1 
0,13,1,1,1,1 
0,14,1,1,1,1 
0,15,1,1,1,1 
0,1,2,1,1,10 
1,2,2,1,1,10 
0,3,2,1,1,10 
0,4,2,1,1,10 
1,5,2,1,1,10 
0,6,2,1,1,10 
0,7,2,1,1,10 
0,8,2,1,1,10 
0,9,2,1,1,10 
0,10,2,1,1,10 
0,11,2,1,1,10 
0,12,2,1,1,10 
0,13,2,1,1,10 
0,14,2,1,1,10 
0,15,2,1,1,10 
0,1,3,1,1,10 
0,2,3,1,1,10 
0,3,3,1,1,10 
0,4,3,1,1,10 
0,5,3,1,1,10 
1,6,3,1,1,10 
0,7,3,1,1,10 
0,8,3,1,1,10 
0,9,3,1,1,10 
0,10,3,1,1,10 
1,11,3,1,1,10 
0,12,3,1,1,10 
0,13,3,1,1,10 
0,14,3,1,1,10 
0,15,3,1,1,10 
0,1,1,1,1,2 
0,2,1,1,1,2 
0,3,1,1,1,2 
1,4,1,1,1,2 
0,5,1,1,1,2 
0,6,1,1,1,2 
1,7,1,1,1,2 
0,8,1,1,1,2 
0,9,1,1,1,2 
0,10,1,1,1,2 
0,11,1,1,1,2 
0,12,1,1,1,2 
0,13,1,1,1,2 
0,14,1,1,1,2 
0,15,1,1,1,2 
0,1,2,1,1,10 
1,2,2,1,1,10 
0,3,2,1,1,10 
0,4,2,1,1,10 
1,5,2,1,1,10 
0,6,2,1,1,10 
0,7,2,1,1,10 
0,8,2,1,1,10 
0,9,2,1,1,10 
0,10,2,1,1,10 
0,11,2,1,1,10 
0,12,2,1,1,10 
0,13,2,1,1,10 
0,14,2,1,1,10 
0,15,2,1,1,10 
0,1,3,1,1,10 
0,2,3,1,1,10 
0,3,3,1,1,10 
0,4,3,1,1,10 
0,5,3,1,1,10 
1,6,3,1,1,10 
0,7,3,1,1,10 
0,8,3,1,1,10 
0,9,3,1,1,10 
0,10,3,1,1,10 
1,11,3,1,1,10 
0,12,3,1,1,10 
0,13,3,1,1,10 
0,14,3,1,1,10 
0,15,3,1,1,10 
0,1,1,1,1,3 
0,2,1,1,1,3 
1,3,1,1,1,3 
0,4,1,1,1,3 
0,5,1,1,1,3 
0,6,1,1,1,3 
1,7,1,1,1,3 
0,8,1,1,1,3 
1,9,1,1,1,3 
0,10,1,1,1,3 
