ExT,a,i,k,t 
819,1,1,1,1 
819,1,1,1,2 
819,1,1,1,3 
819,1,1,1,4 
819,1,1,1,5 
819,1,1,1,6 
819,1,1,1,7 
819,1,1,1,8 
819,1,1,1,9 
819,1,1,1,10 
152265,2,1,1,1 
152265,2,1,1,2 
152265,2,1,1,3 
152265,2,1,1,4 
152265,2,1,1,5 
152265,2,1,1,6 
152265,2,1,1,7 
152265,2,1,1,8 
152265,2,1,1,9 
152265,2,1,1,10 
70605,3,1,1,1 
70605,3,1,1,2 
70605,3,1,1,3 
70605,3,1,1,4 
70605,3,1,1,5 
70605,3,1,1,6 
70605,3,1,1,7 
70605,3,1,1,8 
70605,3,1,1,9 
70605,3,1,1,10 
19620,4,1,1,1 
19620,4,1,1,2 
19620,4,1,1,3 
19620,4,1,1,4 
19620,4,1,1,5 
19620,4,1,1,6 
19620,4,1,1,7 
19620,4,1,1,8 
19620,4,1,1,9 
19620,4,1,1,10 
21693,5,1,1,1 
21693,5,1,1,2 
21693,5,1,1,3 
21693,5,1,1,4 
21693,5,1,1,5 
21693,5,1,1,6 
21693,5,1,1,7 
21693,5,1,1,8 
21693,5,1,1,9 
21693,5,1,1,10 
61624,6,1,1,1 
61624,6,1,1,2 
61624,6,1,1,3 
61624,6,1,1,4 
61624,6,1,1,5 
61624,6,1,1,6 
61624,6,1,1,7 
61624,6,1,1,8 
61624,6,1,1,9 
61624,6,1,1,10 
24180,7,1,1,1 
24180,7,1,1,2 
24180,7,1,1,3 
24180,7,1,1,4 
24180,7,1,1,5 
24180,7,1,1,6 
24180,7,1,1,7 
24180,7,1,1,8 
24180,7,1,1,9 
24180,7,1,1,10 
16786,8,1,1,1 
16786,8,1,1,2 
16786,8,1,1,3 
16786,8,1,1,4 
16786,8,1,1,5 
16786,8,1,1,6 
16786,8,1,1,7 
16786,8,1,1,8 
16786,8,1,1,9 
16786,8,1,1,10 
16940,9,1,1,1 
16940,9,1,1,2 
16940,9,1,1,3 
16940,9,1,1,4 
16940,9,1,1,5 
16940,9,1,1,6 
16940,9,1,1,7 
16940,9,1,1,8 
16940,9,1,1,9 
16940,9,1,1,10 
17271,10,1,1,1 
17271,10,1,1,2 
17271,10,1,1,3 
17271,10,1,1,4 
17271,10,1,1,5 
17271,10,1,1,6 
17271,10,1,1,7 
17271,10,1,1,8 
17271,10,1,1,9 
17271,10,1,1,10 
414,1,2,1,1 
414,1,2,1,2 
414,1,2,1,3 
414,1,2,1,4 
414,1,2,1,5 
414,1,2,1,6 
414,1,2,1,7 
414,1,2,1,8 
414,1,2,1,9 
414,1,2,1,10 
1658,2,2,1,1 
1658,2,2,1,2 
1658,2,2,1,3 
1658,2,2,1,4 
1658,2,2,1,5 
1658,2,2,1,6 
1658,2,2,1,7 
1658,2,2,1,8 
1658,2,2,1,9 
1658,2,2,1,10 
6771,3,2,1,1 
6771,3,2,1,2 
6771,3,2,1,3 
6771,3,2,1,4 
6771,3,2,1,5 
6771,3,2,1,6 
6771,3,2,1,7 
6771,3,2,1,8 
6771,3,2,1,9 
6771,3,2,1,10 
5388,4,2,1,1 
5388,4,2,1,2 
5388,4,2,1,3 
5388,4,2,1,4 
5388,4,2,1,5 
5388,4,2,1,6 
5388,4,2,1,7 
5388,4,2,1,8 
5388,4,2,1,9 
5388,4,2,1,10 
7876,5,2,1,1 
7876,5,2,1,2 
7876,5,2,1,3 
7876,5,2,1,4 
7876,5,2,1,5 
7876,5,2,1,6 
7876,5,2,1,7 
7876,5,2,1,8 
7876,5,2,1,9 
7876,5,2,1,10 
5528,6,2,1,1 
5528,6,2,1,2 
5528,6,2,1,3 
5528,6,2,1,4 
5528,6,2,1,5 
5528,6,2,1,6 
5528,6,2,1,7 
5528,6,2,1,8 
5528,6,2,1,9 
5528,6,2,1,10 
6494,7,2,1,1 
6494,7,2,1,2 
6494,7,2,1,3 
6494,7,2,1,4 
6494,7,2,1,5 
6494,7,2,1,6 
6494,7,2,1,7 
6494,7,2,1,8 
6494,7,2,1,9 
6494,7,2,1,10 
28186,8,2,1,1 
28186,8,2,1,2 
28186,8,2,1,3 
28186,8,2,1,4 
28186,8,2,1,5 
28186,8,2,1,6 
28186,8,2,1,7 
28186,8,2,1,8 
28186,8,2,1,9 
28186,8,2,1,10 
21141,9,2,1,1 
21141,9,2,1,2 
21141,9,2,1,3 
21141,9,2,1,4 
21141,9,2,1,5 
21141,9,2,1,6 
21141,9,2,1,7 
21141,9,2,1,8 
21141,9,2,1,9 
21141,9,2,1,10 
3178,10,2,1,1 
3178,10,2,1,2 
3178,10,2,1,3 
3178,10,2,1,4 
3178,10,2,1,5 
3178,10,2,1,6 
3178,10,2,1,7 
3178,10,2,1,8 
3178,10,2,1,9 
3178,10,2,1,10 
12988,1,3,1,1 
12988,1,3,1,2 
12988,1,3,1,3 
12988,1,3,1,4 
12988,1,3,1,5 
12988,1,3,1,6 
12988,1,3,1,7 
12988,1,3,1,8 
12988,1,3,1,9 
12988,1,3,1,10 
4006,2,3,1,1 
4006,2,3,1,2 
4006,2,3,1,3 
4006,2,3,1,4 
4006,2,3,1,5 
4006,2,3,1,6 
4006,2,3,1,7 
4006,2,3,1,8 
4006,2,3,1,9 
4006,2,3,1,10 
28740,3,3,1,1 
28740,3,3,1,2 
28740,3,3,1,3 
28740,3,3,1,4 
28740,3,3,1,5 
28740,3,3,1,6 
28740,3,3,1,7 
28740,3,3,1,8 
28740,3,3,1,9 
28740,3,3,1,10 
5942,4,3,1,1 
5942,4,3,1,2 
5942,4,3,1,3 
5942,4,3,1,4 
5942,4,3,1,5 
5942,4,3,1,6 
5942,4,3,1,7 
5942,4,3,1,8 
5942,4,3,1,9 
5942,4,3,1,10 
1244,5,3,1,1 
1244,5,3,1,2 
1244,5,3,1,3 
1244,5,3,1,4 
1244,5,3,1,5 
1244,5,3,1,6 
1244,5,3,1,7 
1244,5,3,1,8 
1244,5,3,1,9 
1244,5,3,1,10 
4974,6,3,1,1 
4974,6,3,1,2 
4974,6,3,1,3 
4974,6,3,1,4 
4974,6,3,1,5 
4974,6,3,1,6 
4974,6,3,1,7 
4974,6,3,1,8 
4974,6,3,1,9 
4974,6,3,1,10 
34820,7,3,1,1 
34820,7,3,1,2 
34820,7,3,1,3 
34820,7,3,1,4 
34820,7,3,1,5 
34820,7,3,1,6 
34820,7,3,1,7 
34820,7,3,1,8 
34820,7,3,1,9 
34820,7,3,1,10 
64,8,3,1,1 
64,8,3,1,2 
64,8,3,1,3 
64,8,3,1,4 
64,8,3,1,5 
64,8,3,1,6 
64,8,3,1,7 
64,8,3,1,8 
64,8,3,1,9 
64,8,3,1,10 
12232,9,3,1,1 
12232,9,3,1,2 
12232,9,3,1,3 
12232,9,3,1,4 
12232,9,3,1,5 
12232,9,3,1,6 
12232,9,3,1,7 
12232,9,3,1,8 
12232,9,3,1,9 
12232,9,3,1,10 
13718,10,3,1,1 
13718,10,3,1,2 
13718,10,3,1,3 
13718,10,3,1,4 
13718,10,3,1,5 
13718,10,3,1,6 
13718,10,3,1,7 
13718,10,3,1,8 
13718,10,3,1,9 
13718,10,3,1,10 
819,1,1,1,1 
819,1,1,1,2 
819,1,1,1,3 
819,1,1,1,4 
819,1,1,1,5 
819,1,1,1,6 
819,1,1,1,7 
819,1,1,1,8 
819,1,1,1,9 
819,1,1,1,10 
152265,2,1,1,1 
152265,2,1,1,2 
152265,2,1,1,3 
152265,2,1,1,4 
152265,2,1,1,5 
152265,2,1,1,6 
152265,2,1,1,7 
152265,2,1,1,8 
152265,2,1,1,9 
152265,2,1,1,10 
70605,3,1,1,1 
70605,3,1,1,2 
70605,3,1,1,3 
70605,3,1,1,4 
70605,3,1,1,5 
70605,3,1,1,6 
70605,3,1,1,7 
70605,3,1,1,8 
70605,3,1,1,9 
70605,3,1,1,10 
19620,4,1,1,1 
19620,4,1,1,2 
19620,4,1,1,3 
19620,4,1,1,4 
19620,4,1,1,5 
19620,4,1,1,6 
19620,4,1,1,7 
19620,4,1,1,8 
19620,4,1,1,9 
19620,4,1,1,10 
21693,5,1,1,1 
21693,5,1,1,2 
21693,5,1,1,3 
21693,5,1,1,4 
21693,5,1,1,5 
21693,5,1,1,6 
21693,5,1,1,7 
21693,5,1,1,8 
21693,5,1,1,9 
21693,5,1,1,10 
61624,6,1,1,1 
61624,6,1,1,2 
61624,6,1,1,3 
61624,6,1,1,4 
61624,6,1,1,5 
61624,6,1,1,6 
61624,6,1,1,7 
61624,6,1,1,8 
61624,6,1,1,9 
61624,6,1,1,10 
24180,7,1,1,1 
24180,7,1,1,2 
24180,7,1,1,3 
24180,7,1,1,4 
24180,7,1,1,5 
24180,7,1,1,6 
24180,7,1,1,7 
24180,7,1,1,8 
24180,7,1,1,9 
24180,7,1,1,10 
16786,8,1,1,1 
16786,8,1,1,2 
16786,8,1,1,3 
16786,8,1,1,4 
16786,8,1,1,5 
16786,8,1,1,6 
16786,8,1,1,7 
16786,8,1,1,8 
16786,8,1,1,9 
16786,8,1,1,10 
16940,9,1,1,1 
16940,9,1,1,2 
16940,9,1,1,3 
16940,9,1,1,4 
16940,9,1,1,5 
16940,9,1,1,6 
16940,9,1,1,7 
16940,9,1,1,8 
16940,9,1,1,9 
16940,9,1,1,10 
17271,10,1,1,1 
17271,10,1,1,2 
17271,10,1,1,3 
17271,10,1,1,4 
17271,10,1,1,5 
17271,10,1,1,6 
17271,10,1,1,7 
17271,10,1,1,8 
17271,10,1,1,9 
17271,10,1,1,10 
414,1,2,1,1 
414,1,2,1,2 
414,1,2,1,3 
414,1,2,1,4 
414,1,2,1,5 
414,1,2,1,6 
414,1,2,1,7 
414,1,2,1,8 
414,1,2,1,9 
414,1,2,1,10 
1658,2,2,1,1 
1658,2,2,1,2 
1658,2,2,1,3 
1658,2,2,1,4 
1658,2,2,1,5 
1658,2,2,1,6 
1658,2,2,1,7 
1658,2,2,1,8 
1658,2,2,1,9 
1658,2,2,1,10 
6771,3,2,1,1 
6771,3,2,1,2 
6771,3,2,1,3 
6771,3,2,1,4 
6771,3,2,1,5 
6771,3,2,1,6 
6771,3,2,1,7 
6771,3,2,1,8 
6771,3,2,1,9 
6771,3,2,1,10 
5388,4,2,1,1 
5388,4,2,1,2 
5388,4,2,1,3 
5388,4,2,1,4 
5388,4,2,1,5 
5388,4,2,1,6 
5388,4,2,1,7 
5388,4,2,1,8 
5388,4,2,1,9 
5388,4,2,1,10 
7876,5,2,1,1 
7876,5,2,1,2 
7876,5,2,1,3 
7876,5,2,1,4 
7876,5,2,1,5 
7876,5,2,1,6 
7876,5,2,1,7 
7876,5,2,1,8 
7876,5,2,1,9 
7876,5,2,1,10 
5528,6,2,1,1 
5528,6,2,1,2 
5528,6,2,1,3 
5528,6,2,1,4 
5528,6,2,1,5 
5528,6,2,1,6 
5528,6,2,1,7 
5528,6,2,1,8 
5528,6,2,1,9 
5528,6,2,1,10 
6494,7,2,1,1 
6494,7,2,1,2 
6494,7,2,1,3 
6494,7,2,1,4 
6494,7,2,1,5 
6494,7,2,1,6 
6494,7,2,1,7 
6494,7,2,1,8 
6494,7,2,1,9 
6494,7,2,1,10 
28186,8,2,1,1 
28186,8,2,1,2 
28186,8,2,1,3 
28186,8,2,1,4 
28186,8,2,1,5 
28186,8,2,1,6 
28186,8,2,1,7 
28186,8,2,1,8 
28186,8,2,1,9 
28186,8,2,1,10 
21141,9,2,1,1 
21141,9,2,1,2 
21141,9,2,1,3 
21141,9,2,1,4 
21141,9,2,1,5 
21141,9,2,1,6 
21141,9,2,1,7 
21141,9,2,1,8 
21141,9,2,1,9 
21141,9,2,1,10 
3178,10,2,1,1 
3178,10,2,1,2 
3178,10,2,1,3 
3178,10,2,1,4 
3178,10,2,1,5 
3178,10,2,1,6 
3178,10,2,1,7 
3178,10,2,1,8 
3178,10,2,1,9 
3178,10,2,1,10 
12988,1,3,1,1 
12988,1,3,1,2 
12988,1,3,1,3 
12988,1,3,1,4 
12988,1,3,1,5 
12988,1,3,1,6 
12988,1,3,1,7 
12988,1,3,1,8 
12988,1,3,1,9 
12988,1,3,1,10 
4006,2,3,1,1 
4006,2,3,1,2 
4006,2,3,1,3 
4006,2,3,1,4 
4006,2,3,1,5 
4006,2,3,1,6 
4006,2,3,1,7 
4006,2,3,1,8 
4006,2,3,1,9 
4006,2,3,1,10 
28740,3,3,1,1 
28740,3,3,1,2 
28740,3,3,1,3 
28740,3,3,1,4 
28740,3,3,1,5 
28740,3,3,1,6 
28740,3,3,1,7 
28740,3,3,1,8 
28740,3,3,1,9 
28740,3,3,1,10 
5942,4,3,1,1 
5942,4,3,1,2 
5942,4,3,1,3 
5942,4,3,1,4 
5942,4,3,1,5 
5942,4,3,1,6 
5942,4,3,1,7 
5942,4,3,1,8 
5942,4,3,1,9 
5942,4,3,1,10 
1244,5,3,1,1 
1244,5,3,1,2 
1244,5,3,1,3 
1244,5,3,1,4 
1244,5,3,1,5 
1244,5,3,1,6 
1244,5,3,1,7 
1244,5,3,1,8 
1244,5,3,1,9 
1244,5,3,1,10 
4974,6,3,1,1 
4974,6,3,1,2 
4974,6,3,1,3 
4974,6,3,1,4 
4974,6,3,1,5 
4974,6,3,1,6 
4974,6,3,1,7 
4974,6,3,1,8 
4974,6,3,1,9 
4974,6,3,1,10 
34820,7,3,1,1 
34820,7,3,1,2 
34820,7,3,1,3 
34820,7,3,1,4 
34820,7,3,1,5 
34820,7,3,1,6 
34820,7,3,1,7 
34820,7,3,1,8 
34820,7,3,1,9 
34820,7,3,1,10 
64,8,3,1,1 
64,8,3,1,2 
64,8,3,1,3 
64,8,3,1,4 
64,8,3,1,5 
64,8,3,1,6 
64,8,3,1,7 
64,8,3,1,8 
64,8,3,1,9 
64,8,3,1,10 
12232,9,3,1,1 
12232,9,3,1,2 
12232,9,3,1,3 
12232,9,3,1,4 
12232,9,3,1,5 
12232,9,3,1,6 
12232,9,3,1,7 
12232,9,3,1,8 
12232,9,3,1,9 
12232,9,3,1,10 
13718,10,3,1,1 
13718,10,3,1,2 
13718,10,3,1,3 
13718,10,3,1,4 
13718,10,3,1,5 
13718,10,3,1,6 
13718,10,3,1,7 
13718,10,3,1,8 
13718,10,3,1,9 
13718,10,3,1,10 
819,1,1,1,1 
819,1,1,1,2 
819,1,1,1,3 
819,1,1,1,4 
819,1,1,1,5 
819,1,1,1,6 
819,1,1,1,7 
819,1,1,1,8 
819,1,1,1,9 
819,1,1,1,10 
152265,2,1,1,1 
152265,2,1,1,2 
152265,2,1,1,3 
152265,2,1,1,4 
152265,2,1,1,5 
152265,2,1,1,6 
152265,2,1,1,7 
152265,2,1,1,8 
152265,2,1,1,9 
152265,2,1,1,10 
70605,3,1,1,1 
70605,3,1,1,2 
70605,3,1,1,3 
70605,3,1,1,4 
70605,3,1,1,5 
70605,3,1,1,6 
70605,3,1,1,7 
70605,3,1,1,8 
70605,3,1,1,9 
70605,3,1,1,10 
19620,4,1,1,1 
19620,4,1,1,2 
19620,4,1,1,3 
19620,4,1,1,4 
19620,4,1,1,5 
19620,4,1,1,6 
19620,4,1,1,7 
19620,4,1,1,8 
19620,4,1,1,9 
19620,4,1,1,10 
21693,5,1,1,1 
21693,5,1,1,2 
21693,5,1,1,3 
21693,5,1,1,4 
21693,5,1,1,5 
21693,5,1,1,6 
21693,5,1,1,7 
21693,5,1,1,8 
21693,5,1,1,9 
21693,5,1,1,10 
61624,6,1,1,1 
61624,6,1,1,2 
61624,6,1,1,3 
61624,6,1,1,4 
61624,6,1,1,5 
61624,6,1,1,6 
61624,6,1,1,7 
61624,6,1,1,8 
61624,6,1,1,9 
