ExT,a,i,k,t 
546,1,1,1,1 
546,1,1,1,2 
546,1,1,1,3 
546,1,1,1,4 
546,1,1,1,5 
546,1,1,1,6 
546,1,1,1,7 
546,1,1,1,8 
546,1,1,1,9 
546,1,1,1,10 
546,1,1,1,11 
546,1,1,1,12 
546,1,1,1,13 
546,1,1,1,14 
546,1,1,1,15 
546,1,1,1,16 
546,1,1,1,17 
546,1,1,1,18 
546,1,1,1,19 
546,1,1,1,20 
546,1,1,1,21 
546,1,1,1,22 
546,1,1,1,23 
546,1,1,1,24 
546,1,1,1,25 
546,1,1,1,26 
546,1,1,1,27 
546,1,1,1,28 
546,1,1,1,29 
546,1,1,1,30 
546,1,1,1,31 
546,1,1,1,32 
546,1,1,1,33 
546,1,1,1,34 
546,1,1,1,35 
546,1,1,1,36 
546,1,1,1,37 
546,1,1,1,38 
546,1,1,1,39 
546,1,1,1,40 
546,1,1,1,41 
546,1,1,1,42 
546,1,1,1,43 
546,1,1,1,44 
546,1,1,1,45 
546,1,1,1,46 
546,1,1,1,47 
546,1,1,1,48 
546,1,1,1,49 
546,1,1,1,50 
546,1,1,1,51 
546,1,1,1,52 
101510,2,1,1,1 
101510,2,1,1,2 
101510,2,1,1,3 
101510,2,1,1,4 
101510,2,1,1,5 
101510,2,1,1,6 
101510,2,1,1,7 
101510,2,1,1,8 
101510,2,1,1,9 
101510,2,1,1,10 
101510,2,1,1,11 
101510,2,1,1,12 
101510,2,1,1,13 
101510,2,1,1,14 
101510,2,1,1,15 
101510,2,1,1,16 
101510,2,1,1,17 
101510,2,1,1,18 
101510,2,1,1,19 
101510,2,1,1,20 
101510,2,1,1,21 
101510,2,1,1,22 
101510,2,1,1,23 
101510,2,1,1,24 
101510,2,1,1,25 
101510,2,1,1,26 
101510,2,1,1,27 
101510,2,1,1,28 
101510,2,1,1,29 
101510,2,1,1,30 
101510,2,1,1,31 
101510,2,1,1,32 
101510,2,1,1,33 
101510,2,1,1,34 
101510,2,1,1,35 
101510,2,1,1,36 
101510,2,1,1,37 
101510,2,1,1,38 
101510,2,1,1,39 
101510,2,1,1,40 
101510,2,1,1,41 
101510,2,1,1,42 
101510,2,1,1,43 
101510,2,1,1,44 
101510,2,1,1,45 
101510,2,1,1,46 
101510,2,1,1,47 
101510,2,1,1,48 
101510,2,1,1,49 
101510,2,1,1,50 
101510,2,1,1,51 
101510,2,1,1,52 
47070,3,1,1,1 
47070,3,1,1,2 
47070,3,1,1,3 
47070,3,1,1,4 
47070,3,1,1,5 
47070,3,1,1,6 
47070,3,1,1,7 
47070,3,1,1,8 
47070,3,1,1,9 
47070,3,1,1,10 
47070,3,1,1,11 
47070,3,1,1,12 
47070,3,1,1,13 
47070,3,1,1,14 
47070,3,1,1,15 
47070,3,1,1,16 
47070,3,1,1,17 
47070,3,1,1,18 
47070,3,1,1,19 
47070,3,1,1,20 
47070,3,1,1,21 
47070,3,1,1,22 
47070,3,1,1,23 
47070,3,1,1,24 
47070,3,1,1,25 
47070,3,1,1,26 
47070,3,1,1,27 
47070,3,1,1,28 
47070,3,1,1,29 
47070,3,1,1,30 
47070,3,1,1,31 
47070,3,1,1,32 
47070,3,1,1,33 
47070,3,1,1,34 
47070,3,1,1,35 
47070,3,1,1,36 
47070,3,1,1,37 
47070,3,1,1,38 
47070,3,1,1,39 
47070,3,1,1,40 
47070,3,1,1,41 
47070,3,1,1,42 
47070,3,1,1,43 
47070,3,1,1,44 
47070,3,1,1,45 
47070,3,1,1,46 
47070,3,1,1,47 
47070,3,1,1,48 
47070,3,1,1,49 
47070,3,1,1,50 
47070,3,1,1,51 
47070,3,1,1,52 
13080,4,1,1,1 
13080,4,1,1,2 
13080,4,1,1,3 
13080,4,1,1,4 
13080,4,1,1,5 
13080,4,1,1,6 
13080,4,1,1,7 
13080,4,1,1,8 
13080,4,1,1,9 
13080,4,1,1,10 
13080,4,1,1,11 
13080,4,1,1,12 
13080,4,1,1,13 
13080,4,1,1,14 
13080,4,1,1,15 
13080,4,1,1,16 
13080,4,1,1,17 
13080,4,1,1,18 
13080,4,1,1,19 
13080,4,1,1,20 
13080,4,1,1,21 
13080,4,1,1,22 
13080,4,1,1,23 
13080,4,1,1,24 
13080,4,1,1,25 
13080,4,1,1,26 
13080,4,1,1,27 
13080,4,1,1,28 
13080,4,1,1,29 
13080,4,1,1,30 
13080,4,1,1,31 
13080,4,1,1,32 
13080,4,1,1,33 
13080,4,1,1,34 
13080,4,1,1,35 
13080,4,1,1,36 
13080,4,1,1,37 
13080,4,1,1,38 
13080,4,1,1,39 
13080,4,1,1,40 
13080,4,1,1,41 
13080,4,1,1,42 
13080,4,1,1,43 
13080,4,1,1,44 
13080,4,1,1,45 
13080,4,1,1,46 
13080,4,1,1,47 
13080,4,1,1,48 
13080,4,1,1,49 
13080,4,1,1,50 
13080,4,1,1,51 
13080,4,1,1,52 
14462,5,1,1,1 
14462,5,1,1,2 
14462,5,1,1,3 
14462,5,1,1,4 
14462,5,1,1,5 
14462,5,1,1,6 
14462,5,1,1,7 
14462,5,1,1,8 
14462,5,1,1,9 
14462,5,1,1,10 
14462,5,1,1,11 
14462,5,1,1,12 
14462,5,1,1,13 
14462,5,1,1,14 
14462,5,1,1,15 
14462,5,1,1,16 
14462,5,1,1,17 
14462,5,1,1,18 
14462,5,1,1,19 
14462,5,1,1,20 
14462,5,1,1,21 
14462,5,1,1,22 
14462,5,1,1,23 
14462,5,1,1,24 
14462,5,1,1,25 
14462,5,1,1,26 
14462,5,1,1,27 
14462,5,1,1,28 
14462,5,1,1,29 
14462,5,1,1,30 
14462,5,1,1,31 
14462,5,1,1,32 
14462,5,1,1,33 
14462,5,1,1,34 
14462,5,1,1,35 
14462,5,1,1,36 
14462,5,1,1,37 
14462,5,1,1,38 
14462,5,1,1,39 
14462,5,1,1,40 
14462,5,1,1,41 
14462,5,1,1,42 
14462,5,1,1,43 
14462,5,1,1,44 
14462,5,1,1,45 
14462,5,1,1,46 
14462,5,1,1,47 
14462,5,1,1,48 
14462,5,1,1,49 
14462,5,1,1,50 
14462,5,1,1,51 
14462,5,1,1,52 
41083,6,1,1,1 
41083,6,1,1,2 
41083,6,1,1,3 
41083,6,1,1,4 
41083,6,1,1,5 
41083,6,1,1,6 
41083,6,1,1,7 
41083,6,1,1,8 
41083,6,1,1,9 
41083,6,1,1,10 
41083,6,1,1,11 
41083,6,1,1,12 
41083,6,1,1,13 
41083,6,1,1,14 
41083,6,1,1,15 
41083,6,1,1,16 
41083,6,1,1,17 
41083,6,1,1,18 
41083,6,1,1,19 
41083,6,1,1,20 
41083,6,1,1,21 
41083,6,1,1,22 
41083,6,1,1,23 
41083,6,1,1,24 
41083,6,1,1,25 
41083,6,1,1,26 
41083,6,1,1,27 
41083,6,1,1,28 
41083,6,1,1,29 
41083,6,1,1,30 
41083,6,1,1,31 
41083,6,1,1,32 
41083,6,1,1,33 
41083,6,1,1,34 
41083,6,1,1,35 
41083,6,1,1,36 
41083,6,1,1,37 
41083,6,1,1,38 
41083,6,1,1,39 
41083,6,1,1,40 
41083,6,1,1,41 
41083,6,1,1,42 
41083,6,1,1,43 
41083,6,1,1,44 
41083,6,1,1,45 
41083,6,1,1,46 
41083,6,1,1,47 
