ExT,a,i,k,t 
0,10,1,1,1 
0,10,1,1,2 
0,10,1,1,3 
0,10,1,1,4 
0,10,1,1,5 
0,10,1,2,1 
0,10,1,2,2 
0,10,1,2,3 
0,10,1,2,4 
0,10,1,2,5 
0,10,1,3,1 
0,10,1,3,2 
0,10,1,3,3 
0,10,1,3,4 
0,10,1,3,5 
57277,10,1,4,1 
11513,10,1,4,2 
11513,10,1,4,3 
11513,10,1,4,4 
11513,10,1,4,5 
0,10,2,1,1 
0,10,2,1,2 
0,10,2,1,3 
0,10,2,1,4 
0,10,2,1,5 
0,10,2,2,1 
0,10,2,2,2 
0,10,2,2,3 
0,10,2,2,4 
0,10,2,2,5 
22524,10,2,3,1 
2119,10,2,3,2 
2119,10,2,3,3 
2118,10,2,3,4 
2119,10,2,3,5 
0,10,2,4,1 
0,10,2,4,2 
0,10,2,4,3 
0,10,2,4,4 
0,10,2,4,5 
12710,10,3,1,1 
9144,10,3,1,2 
9145,10,3,1,3 
21855,10,3,1,4 
9144,10,3,1,5 
0,10,3,2,1 
0,10,3,2,2 
0,10,3,2,3 
0,10,3,2,4 
0,10,3,2,5 
0,10,3,3,1 
0,10,3,3,2 
0,10,3,3,3 
0,10,3,3,4 
0,10,3,3,5 
0,10,3,4,1 
0,10,3,4,2 
0,10,3,4,3 
0,10,3,4,4 
0,10,3,4,5 
0,10,1,1,1 
0,10,1,1,2 
0,10,1,1,3 
0,10,1,1,4 
0,10,1,1,5 
0,10,1,2,1 
0,10,1,2,2 
0,10,1,2,3 
0,10,1,2,4 
0,10,1,2,5 
0,10,1,3,1 
0,10,1,3,2 
0,10,1,3,3 
0,10,1,3,4 
0,10,1,3,5 
57277,10,1,4,1 
11513,10,1,4,2 
11513,10,1,4,3 
11513,10,1,4,4 
11513,10,1,4,5 
0,10,2,1,1 
0,10,2,1,2 
0,10,2,1,3 
0,10,2,1,4 
0,10,2,1,5 
0,10,2,2,1 
0,10,2,2,2 
0,10,2,2,3 
0,10,2,2,4 
0,10,2,2,5 
22524,10,2,3,1 
2119,10,2,3,2 
2119,10,2,3,3 
2118,10,2,3,4 
2119,10,2,3,5 
0,10,2,4,1 
0,10,2,4,2 
0,10,2,4,3 
0,10,2,4,4 
0,10,2,4,5 
12710,10,3,1,1 
9144,10,3,1,2 
9145,10,3,1,3 
21855,10,3,1,4 
9144,10,3,1,5 
0,10,3,2,1 
0,10,3,2,2 
0,10,3,2,3 
0,10,3,2,4 
0,10,3,2,5 
0,10,3,3,1 
0,10,3,3,2 
0,10,3,3,3 
0,10,3,3,4 
0,10,3,3,5 
0,10,3,4,1 
0,10,3,4,2 
0,10,3,4,3 
0,10,3,4,4 
0,10,3,4,5 
0,10,1,1,1 
0,10,1,1,2 
0,10,1,1,3 
0,10,1,1,4 
0,10,1,1,5 
0,10,1,2,1 
0,10,1,2,2 
0,10,1,2,3 
0,10,1,2,4 
0,10,1,2,5 
0,10,1,3,1 
0,10,1,3,2 
0,10,1,3,3 
0,10,1,3,4 
0,10,1,3,5 
57277,10,1,4,1 
11513,10,1,4,2 
11513,10,1,4,3 
11513,10,1,4,4 
11513,10,1,4,5 
0,10,2,1,1 
0,10,2,1,2 
0,10,2,1,3 
0,10,2,1,4 
0,10,2,1,5 
0,10,2,2,1 
0,10,2,2,2 
0,10,2,2,3 
0,10,2,2,4 
0,10,2,2,5 
22524,10,2,3,1 
2119,10,2,3,2 
2119,10,2,3,3 
2118,10,2,3,4 
2119,10,2,3,5 
0,10,2,4,1 
0,10,2,4,2 
0,10,2,4,3 
0,10,2,4,4 
0,10,2,4,5 
12710,10,3,1,1 
9144,10,3,1,2 
9145,10,3,1,3 
21855,10,3,1,4 
9144,10,3,1,5 
0,10,3,2,1 
0,10,3,2,2 
0,10,3,2,3 
0,10,3,2,4 
0,10,3,2,5 
0,10,3,3,1 
0,10,3,3,2 
0,10,3,3,3 
0,10,3,3,4 
0,10,3,3,5 
0,10,3,4,1 
0,10,3,4,2 
0,10,3,4,3 
0,10,3,4,4 
0,10,3,4,5 
0,10,1,1,1 
0,10,1,1,2 
0,10,1,1,3 
0,10,1,1,4 
0,10,1,1,5 
0,10,1,2,1 
0,10,1,2,2 
0,10,1,2,3 
0,10,1,2,4 
0,10,1,2,5 
0,10,1,3,1 
0,10,1,3,2 
0,10,1,3,3 
0,10,1,3,4 
0,10,1,3,5 
57277,10,1,4,1 
11513,10,1,4,2 
11513,10,1,4,3 
11513,10,1,4,4 
11513,10,1,4,5 
0,10,2,1,1 
0,10,2,1,2 
0,10,2,1,3 
0,10,2,1,4 
0,10,2,1,5 
0,10,2,2,1 
0,10,2,2,2 
0,10,2,2,3 
0,10,2,2,4 
0,10,2,2,5 
22524,10,2,3,1 
2119,10,2,3,2 
2119,10,2,3,3 
2118,10,2,3,4 
2119,10,2,3,5 
0,10,2,4,1 
0,10,2,4,2 
0,10,2,4,3 
0,10,2,4,4 
0,10,2,4,5 
12710,10,3,1,1 
9144,10,3,1,2 
9145,10,3,1,3 
21855,10,3,1,4 
9144,10,3,1,5 
0,10,3,2,1 
0,10,3,2,2 
0,10,3,2,3 
0,10,3,2,4 
0,10,3,2,5 
0,10,3,3,1 
0,10,3,3,2 
0,10,3,3,3 
0,10,3,3,4 
0,10,3,3,5 
0,10,3,4,1 
0,10,3,4,2 
0,10,3,4,3 
0,10,3,4,4 
0,10,3,4,5 
0,10,1,1,1 
0,10,1,1,2 
0,10,1,1,3 
0,10,1,1,4 
0,10,1,1,5 
0,10,1,2,1 
0,10,1,2,2 
0,10,1,2,3 
0,10,1,2,4 
0,10,1,2,5 
0,10,1,3,1 
0,10,1,3,2 
0,10,1,3,3 
0,10,1,3,4 
0,10,1,3,5 
57277,10,1,4,1 
11513,10,1,4,2 
11513,10,1,4,3 
11513,10,1,4,4 
11513,10,1,4,5 
0,10,2,1,1 
0,10,2,1,2 
0,10,2,1,3 
0,10,2,1,4 
0,10,2,1,5 
0,10,2,2,1 
0,10,2,2,2 
0,10,2,2,3 
0,10,2,2,4 
0,10,2,2,5 
22524,10,2,3,1 
2119,10,2,3,2 
2119,10,2,3,3 
2118,10,2,3,4 
2119,10,2,3,5 
0,10,2,4,1 
0,10,2,4,2 
0,10,2,4,3 
0,10,2,4,4 
0,10,2,4,5 
12710,10,3,1,1 
9144,10,3,1,2 
9145,10,3,1,3 
21855,10,3,1,4 
9144,10,3,1,5 
0,10,3,2,1 
0,10,3,2,2 
0,10,3,2,3 
0,10,3,2,4 
0,10,3,2,5 
0,10,3,3,1 
0,10,3,3,2 
0,10,3,3,3 
0,10,3,3,4 
0,10,3,3,5 
0,10,3,4,1 
0,10,3,4,2 
0,10,3,4,3 
0,10,3,4,4 
0,10,3,4,5
