Tr,a,i,j,k,t,e 
0,1,1,1,1,1,1 
0,1,1,1,1,1,2 
0,1,1,1,1,1,3 
0,1,1,1,1,1,4 
0,1,1,1,1,1,5 
0,1,1,1,1,1,6 
0,1,1,1,1,1,7 
0,1,1,1,1,1,8 
0,1,1,1,1,1,9 
0,1,1,1,1,1,10 
0,1,1,1,1,1,11 
0,1,1,1,1,1,12 
0,1,1,1,1,1,13 
0,1,1,1,1,1,14 
0,1,1,1,1,1,15 
0,1,1,1,1,1,16 
0,1,1,1,1,1,17 
0,1,1,1,1,1,18 
0,1,1,1,1,1,19 
0,1,1,1,1,1,20 
0,1,1,1,1,1,21 
0,1,1,1,1,1,22 
0,1,1,1,1,1,23 
0,1,1,1,1,1,24 
0,1,1,1,1,1,25 
0,1,1,1,1,1,26 
0,1,1,1,1,1,27 
0,1,1,1,1,1,28 
0,1,1,1,1,1,29 
0,1,1,1,1,1,30 
0,1,1,1,1,1,31 
0,1,1,1,1,1,32 
0,1,1,1,1,1,33 
0,1,1,1,1,1,34 
0,1,1,1,1,1,35 
0,1,1,1,2,1,1 
0,1,1,1,2,1,2 
0,1,1,1,2,1,3 
0,1,1,1,2,1,4 
0,1,1,1,2,1,5 
31000,1,1,1,2,1,6 
0,1,1,1,2,1,7 
0,1,1,1,2,1,8 
0,1,1,1,2,1,9 
0,1,1,1,2,1,10 
0,1,1,1,2,1,11 
0,1,1,1,2,1,12 
0,1,1,1,2,1,13 
0,1,1,1,2,1,14 
0,1,1,1,2,1,15 
0,1,1,1,2,1,16 
0,1,1,1,2,1,17 
0,1,1,1,2,1,18 
0,1,1,1,2,1,19 
0,1,1,1,2,1,20 
0,1,1,1,2,1,21 
0,1,1,1,2,1,22 
0,1,1,1,2,1,23 
0,1,1,1,2,1,24 
0,1,1,1,2,1,25 
0,1,1,1,2,1,26 
0,1,1,1,2,1,27 
0,1,1,1,2,1,28 
0,1,1,1,2,1,29 
0,1,1,1,2,1,30 
0,1,1,1,2,1,31 
0,1,1,1,2,1,32 
0,1,1,1,2,1,33 
0,1,1,1,2,1,34 
0,1,1,1,2,1,35 
0,1,1,1,3,1,1 
0,1,1,1,3,1,2 
0,1,1,1,3,1,3 
0,1,1,1,3,1,4 
0,1,1,1,3,1,5 
0,1,1,1,3,1,6 
0,1,1,1,3,1,7 
0,1,1,1,3,1,8 
0,1,1,1,3,1,9 
0,1,1,1,3,1,10 
0,1,1,1,3,1,11 
0,1,1,1,3,1,12 
0,1,1,1,3,1,13 
0,1,1,1,3,1,14 
0,1,1,1,3,1,15 
0,1,1,1,3,1,16 
0,1,1,1,3,1,17 
0,1,1,1,3,1,18 
0,1,1,1,3,1,19 
0,1,1,1,3,1,20 
0,1,1,1,3,1,21 
0,1,1,1,3,1,22 
0,1,1,1,3,1,23 
0,1,1,1,3,1,24 
0,1,1,1,3,1,25 
0,1,1,1,3,1,26 
0,1,1,1,3,1,27 
0,1,1,1,3,1,28 
0,1,1,1,3,1,29 
0,1,1,1,3,1,30 
0,1,1,1,3,1,31 
0,1,1,1,3,1,32 
0,1,1,1,3,1,33 
0,1,1,1,3,1,34 
0,1,1,1,3,1,35 
0,1,1,1,4,1,1 
0,1,1,1,4,1,2 
0,1,1,1,4,1,3 
0,1,1,1,4,1,4 
0,1,1,1,4,1,5 
0,1,1,1,4,1,6 
0,1,1,1,4,1,7 
0,1,1,1,4,1,8 
0,1,1,1,4,1,9 
0,1,1,1,4,1,10 
0,1,1,1,4,1,11 
0,1,1,1,4,1,12 
0,1,1,1,4,1,13 
0,1,1,1,4,1,14 
0,1,1,1,4,1,15 
0,1,1,1,4,1,16 
0,1,1,1,4,1,17 
0,1,1,1,4,1,18 
0,1,1,1,4,1,19 
0,1,1,1,4,1,20 
0,1,1,1,4,1,21 
0,1,1,1,4,1,22 
0,1,1,1,4,1,23 
0,1,1,1,4,1,24 
0,1,1,1,4,1,25 
0,1,1,1,4,1,26 
0,1,1,1,4,1,27 
0,1,1,1,4,1,28 
0,1,1,1,4,1,29 
0,1,1,1,4,1,30 
0,1,1,1,4,1,31 
